name,registration_number,address,registration_date,renewed_on,valid_upto,district,country,remarks,source_name
Adarsha Seba Sangstha,0974,"Uttar Plaza, Mahimaganj Road, Gobindaganj, Gaibandha.",1995-10-10,2015-10-10,2020-10-10,Gaibandha,Bangladesh,"Cancelled on 25/10/2010, Revived on 18/12/2014",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ad-Din Welfare Centre,0347,"15, Rail Road, Jessore Phone : 0421-68820, Fax: 0421-68807",1990-01-30,2020-01-30,2030-01-30,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adhikar Unnayan Sangstha,2421,"House-67/A, (2nd Floor), Road-8/A, Dhanmondi, Dhaka. Phone: 9115180",2009-03-15,,2014-03-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adhunik,1149,"63, Central Road, Dhanmondi, Dhaka-1205 Phone: 02-8614959",1997-03-29,2012-03-20,2017-03-20,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adhunika Bangladesh Society (ABS),2270,"107/1 Azimpur Road, Azimpur, Dhaka-1205",2007-09-12,,2012-09-12,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adibashi Unnayan Sangstha,1190,"Hazra Villa, Holding No-54, Betiapara, Park Gate, Vatapara, Rajshahi-6000. Phone: 01715-210096",1997-10-01,2017-10-01,2027-10-01,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adibasi Development Organization (ADO),2341,"Chakbeni, Post.: Jabaripur Hat, Upazila: Badalgachi, Dist.: Nowgaon",2008-04-21,,2013-04-21,Naogaon,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ADORE,1593,"111 (Old-65), Islampur Road, Khulna-9100 Phone: 041-733378",2000-12-07,2025-12-07,2035-12-06,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adorsho Pathagar O Swechchasebi Songothon,3322,"Dakkhin Char Kamlapur, Sadar, Faridpur. Phone: 01727013588",2022-09-20,,2032-09-19,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Advance Life Organization (ALO),3055,"House-568, East Badda, Krishi Bak Road, Badda, Dhaka",2016-12-08,,2021-12-08,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Advanced Society for any Research & Active Life Oriented Work,3386,"Asariachala, Shahorgopinpur, Ghatail, Tangail. Phone: 017379531",2023-10-30,,2033-10-29,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Advancing Leprosy and Disadvantaged Peoples Opportunities Society (ALO Society),3548,"House-2,Road-13,Shekhertak,PC Culture Housing, Block-Kha, Mohammadpur, Dhaka. Phone: 01714466009 email:",2025-12-28,,2035-12-27,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agami Education Foundation,3265,"c5h8a Liramkaen C@iraculoss, eKoacliaebtyabgda.nc,o Dmhaka.",2021-02-22,,2031-02-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agape,2166,"Noni Bhaban (4th Floor), Uzani Para, Bandarban-4600 Phone: 0361-63255, Fax: 0361-63255",2006-11-23,2016-11-23,2026-11-23,Bandarban,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agape Bangladesh,2032,"Vill.: Goaljani, Post: Purnimagati, Upazilla: Ullapara, Dist: Sirajgonj.",2005-04-21,2015-04-21,2025-04-21,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agape Social Concern,1135,"39/1 Indira Road, West Rajabazar, Farmgate, Dhaka. Phone: 9114299, Fax: 8122286",1997-02-13,2022-02-13,2032-02-12,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agency for Integrated Development,0406,"237 Bhagalpur, Savar, Dhaka Phone: 01715-110494",1990-11-13,2005-10-13,2010-10-13,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agradut Sangstha-AS,3042,"House-0522/01, Kalibari Road, Bhola Sadar, Bhola. Mobile: 01714799705 email: as.ngo.bhola@gmail.com www.agradutsangstha.org",2016-10-10,2021-10-10,2031-10-09,Bhola,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agragami Social Welfare Foundation,3184,"Village: Vekutia, Post: Vekutia, Kawkhali, Dist: Pirojpur, Mob: 01725132113",2019-01-06,,2029-01-06,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agragati,0746,"Kak Bandhal, Sarutia, Thana: Keshabpur, Jessore",1993-09-02,2003-09-02,2008-09-02,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agragati Seba Sangstha (ASS),2592,"Jangua, Nowakandi, Moulavibazar, Post: Vaterchar, Upazilla: Belabo, Dist: Narsingdhi Phone: 01266287800",2010-08-29,2020-08-29,2030-08-28,Narsingdhi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agrajatra Samaj Unnayan Sangstha,2747,"Rajarhat, PO & PS: Rajarhat, Dist: Kurigram Phone: 01928-993070",2012-11-18,,2017-11-18,Kurigram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agrajattra,2093,"126, Jamal Khan Road (3rd Floor), PO: Anderkilla, PS: Kotwali, Chattogram. Phone: 031-612352, Fax: 031-612352",2006-05-08,2021-05-08,2031-05-07,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agrani Mohila Unnayan Sangstha,1880,"226, Tatipara, Nilganj, Jessore-7400. Phone : 0421-74036",2003-10-15,2018-10-15,2028-10-15,Jessore,Bangladesh,"Cancelled on 13/04/2010, Revived on 29/09/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agrasar Buddha Anathalaya,0081,"Vill: Hoarapara, PO: East Gogra, Raozan, Chattogram Phone: 01817-724360",1981-04-22,2020-05-15,2030-05-15,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agrasara Memorial Society of Bangladesh,2478,"Hoarapara, P.O.: East Gugra, P.S.: Rawzan, Dist.: Chattogram",2009-09-13,,2014-09-13,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agriculture Advisory Society,1015,"House-13/14 (1st floor), Salimullah Road, Block-D, Mohammadpur, Dhaka-1207 Tel: 880-02-58152151, email: harunaas@gmail.com, web:",1996-03-04,2016-03-04,2021-03-04,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agriculture Sustainable and Socio Economic Development Organization (ASSEDO),2103,"wHwouws.ea-a5s7-5b,d R.oorgad-01, Padma R/A, Vadra, Rajshahi. Phone: 01711-016076",2006-06-08,2021-06-08,2031-06-07,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agro-based Socio Economical Development Services (ASEDS),3225,"House-38, Road-07, Block-A, Section-12, Pallabi, Mirpur, Dhaka-1216 Mob: 01711224696",2019-11-14,,2029-11-14,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Agrogoti Sangstha,1963,"Cold Storage More, Mil Bazar, Satkhira. Phone: 0471-63870 www.agrogoti.org",2004-09-23,2019-09-23,2029-09-23,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aheaussunnah Foundation,3483,"Vill: Bhujpur, PO: Bhujpur, PS: Fatickchari, Dist: Chattogram",2025-06-29,,2035-06-28,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ahmmad Ali Sarker Sritee Sangho,3250,"Chandipur, Sundarganj, Gaibandha, Mob: 01740557960",2020-10-15,,2030-10-15,Gaibandha,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aid Bangla,1857,"1, Outer Circular Road, Malibagh, Dhaka-1217 Phone: 9349681",2003-07-20,2008-07-20,2013-07-20,Dhaka,Bangladesh,"Cancelled on 25/10/2010, Revived on 18/08/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aid for Humanity,2217,"Estern City Tower-2, Udayan School Road, Mollartek, Dakkinkhan, Uttara, Dhaka-1230",2007-04-03,2017-04-03,2027-04-03,Sathkhira,Bangladesh,Name Change 26/02/23,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aid for Poor People (APP),2005,"House-801, Road-14, Khilgoan, Block-A, Akota Sarak, Khilgaon, Dhaka. Phone: 7215830, 01711-523399",2005-02-06,2020-02-06,2030-02-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AID Foundation,1319,"AID Complex, Shatbaria, Jhenaidah Phone : 0451-61188-9, Fax: 0541-61196 email: info@aid-bd.org www.aid-bd.org",1998-11-30,2018-11-30,2028-11-30,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aid Organization,2595,"Jaifia Plaza, Nobogram Road, Barisal-8200 Phone: 01718665198 www.aidobd.org",2010-09-05,2020-09-05,2030-09-05,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aids Awareness Foundation,0883,"196, Shahjahan Road, Mohammadpur, Dhaka-1207 Phone: 8111402, Fax: 8114513",1995-01-03,2015-01-03,2020-01-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AIM (Aunannyo Initiative for Mankind Development),3130,"Upazila parisad Road, Chowgacha, Jessore",2018-01-04,,2028-01-04,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AIMS (Association of Integrated Management for Survivors),2991,"Vill: Thakuradah Union, Berabil, Upazilla: Ganggachara, Dist: Rangpur. Phone: 01717-676848",2015-12-22,2020-12-22,2030-12-22,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ain-O-Salish Kendra,0721,"7/17, Block-B, Lalmatia, Dhaka. Phone: 8126047, 8126134 www.askbd.org",1993-06-28,2018-06-28,2028-06-28,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Akaas Foundation,2277,"A-65, Uttarpara, Saver, Dhaka-1340 Phone: 7741785",2007-10-11,2017-10-11,2027-10-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Akkel Ali Master Foundation,3048,"Mulgaon, PO: goshairhat, Goshairhat, Shariatpur Phone: 01740991323",2016-11-01,2021-11-01,2031-10-31,Shariatpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Akota,1434,"Village: Kumarpara, P.O: Kholahati, Thana+Dist: Gaibandha Phone: 01711-578422",1999-10-06,2019-10-06,2029-10-06,Gaibandha,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Akota Jubo Unnayan Songstha (AJUS),3271,"Jotabot Tola, Digram, Godagari, Rajshahi",2021-03-29,,2031-03-29,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Akota Samaj Unnayan Sangstha (ASUS),1580,"House-J54/5 (4th Floor), Room-5-4, Nayanmoni Villa, Bashundhara Gate(Kachi Bhai Goli), Dhaka-1229 Phone : 8122550",2000-10-30,2020-10-30,2030-10-29,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al Ihsan Social Development Center,2360,"Vill+Post: Hasara, Upazila: Sreenagar, Dist.: Munshigonj Phone: 01726-151365 www.aiwvc.com",2008-05-20,2018-05-20,2028-05-20,Munshiganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al Jameatul Islamiah Al Arabia Mozaher Ulum,0947,"Char Chaktai, Chattogram",1995-06-20,2010-06-20,2020-06-20,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al Jamiah Al Islamiah,0748,"PO: Al-Jamia, P.O. Patiya, Chattogram Phone: 031-310492, 01819-346465",1993-02-09,2013-09-02,2018-09-02,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al Manahil Welfare Foundation Bangladesh,3023,"Nanupur, Fatikchari, Chattogram Phone: 01819-618781",2016-05-19,2021-05-19,2031-05-19,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al Markazul Islami,0685,"21/17, Babar Road, Mohammadpur, Dhaka Phone : 8114980, Fax: 8116739",1993-03-03,2018-03-03,2028-03-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al Mursalat Foundation for Social Support and Development (MFSSD),0258,"House-20, Road-18, Section-03, Uttara-1230, Dhaka. Phone: 0241091755",1988-02-16,2018-02-16,2028-02-16,Dhaka,Bangladesh,NGO Name Change on 27/10/25,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al -Watan Charitable Society,2402,"Vill+Post: Padua-353, Chouddagram, Comilla Phone: 01720-691594, 01819-628685",2009-01-18,2019-01-18,2029-01-18,Comilla,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al-Amanah Samaj Kallayan Sangstha,2027,"Mujgannikhan-A-Sabur Road, PO: Khalishpur, Khulna. Phone: 041-760406",2005-04-09,2010-04-09,2015-04-09,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al-Amin Jonokollan Shongstha,3481,"Vill: Ramvadrapur, Post: Goadangha, Upazilla: Fulpur, Dist: Mymensingh Phone: 01743915154, 01954828382 email: alaminjanakallansangstha@gmail.com",2025-06-24,,2035-06-23,Mymensingh,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al-Falah Bangladesh,0417,"9/16 Iqbal Road, Mohammadpur, Dhaka Phone : 8130827 www.alfalah.com.bd.",1990-12-10,2020-12-13,2030-12-13,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al-Falah Welfare Foundation,3488,"511/5, Baishbari, South Monipur, Mirpur, Dhaka-1216 Phone: 01886153367",2025-08-14,,2035-08-13,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alhaj Ahed Ali Bisws Monob Kollan Trust,3429,"Kutipara,Kismaterotapur, Sadar, Pabna Phone: 01711357741",2025-01-02,,2035-01-01,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alhaj Khodeja Amin Foundation,3100,"Selonda, Shanthia, Pabna Phone: 01711355542",2017-11-01,,2027-11-01,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al-haj Safura Begum Shishu Shadan,3230,"Hathuria, Ghatakhan, Goshairhat, Shariatpur, Mob: 01711565065",2020-01-04,,2030-01-04,Shariatpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alhaj Shamsul Hoque Foundation,3201,"Golam Ali Nazir Bari, Chandgaon, Chattogram, Mob: 01819385938",2019-06-23,,2029-06-23,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Allama Abul Khair Foundation,2142,"Vill.: Raroapara, Post: Chunnapara, Upazilla: Anowara, Dist.: Chattogram. Www.aakfoundation.org",2006-10-08,2021-10-08,2031-10-08,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Allama Fazlullah Foundation,1770,"Vill: Babunagar (Mokkarbari), PO: Deodighi, UZ: Satkania, Dist: Chattogram. Phone: 031-2551654",2002-12-01,2017-12-01,2027-12-01,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alliance for Cooperation and Legal Aid Bangladesh (ACLAB),2053,"8/13, Block-C, Tajmohal Road, Mohammadpur, Dhaka-1207. www.aclabbd.org",2006-01-01,2020-10-12,2030-10-12,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Al-Manar Islami Sangstha,1843,"Shaltha, Faridpur.",2003-06-18,2008-06-18,2013-06-18,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alo Bhubon Trust(Alo-BT),3259,"H-B-66, Road-E-4, Eastern Housing, Section-2, Mirpur-11.5, Dhaka-1216",2021-01-07,,2031-01-07,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Diner Alo Hijra Sangho,3455,"571, Shoril, Station Para, Rajshahi Phone: 01716760435 email: denaralohijra@gmail.com",2025-05-12,,2035-05-11,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ALO-Assistance for Landless Organization,3579,"Vill: par-Boalia, Boalia-5891, Naogaon Sadar, Dist: Naogaon Phone: 01712987908 email: alo.bd433@gmail.com",2026-02-17,,2036-02-16,Naogaon,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aloha Social Services Bangladesh(ASSB),1532,"Ali Manjil, Balubari, Dinajpur-5200 Phone :0531-64644",2000-06-07,2020-06-07,2030-06-06,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alok Bangla (An Initiative to Promote People's Self-Help),2484,"House-119, Road-07, Shah Ali Bagh, Mirpur-1, Dhaka. Phone: 9012393",2009-09-29,2019-09-29,2029-09-29,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alokito Hridoy Foundation,3266,"House-127, Road-01, Avenue-03, Mirpur DOHS, Mirpur, Dhaka-1216 Phone: 01742812044 www.alokitohridoy.org",2021-02-23,,2031-02-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alokito Manob Unnayan Songstha (AMUS),3083,"JNC Road-1, House-215, Alamnagar, Rangpur. Phone: 01718644757",2017-01-11,,2022-01-11,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alokito Nari Unnoyon Foundation,3452,"Asif Plaza, Kala Bagan, Brahmanbaria Phone: 01733558962 email: meherasif0307@gmail.com",2025-05-04,,2035-05-03,Brahmanbaria,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alokito Path,2153,"Montana, Satkania, Chattogram.",2006-11-06,2016-11-06,2026-11-06,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alokon,1892,"103/A, Mohammadpur, Pachlaish, Chattogram. Phone : 01711-122580, 031-650547",2003-12-09,2018-12-09,2028-12-09,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alor Dishari Sangstha (ADS),2265,"Malotinagar, Dubil, Raygonj,Sirajgonj.",2007-08-26,2022-08-26,2032-08-25,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alor Dishary Mohila Unnayan Sangstha,2961,"Goalanda, Rajbari Phone: 01727-211905",2015-08-25,2020-08-25,2030-08-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alor Dishary Sangstha (DSA),3261,"Vill+Post: Fulbgicha, Lalmohan, Bhola",2021-01-18,,2031-01-18,Bhola,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
